Language_name,I,all,ash,bark,belly,big,bird,bite,black,blood,bone,breast,burn,claw,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,give,good,grease,green,hair,hand,head,hear,heart,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,many,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,round,sand,say,see,seed,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
Indonesian Jakarta,aku,,,,,,,,,dara,tulaN,tete7,,,,,dat3N,mati7,anjiN,minum,,kupiN,,,,mata7,,api7,ikan,,,,p3nuh,,,,,,taNan,,d3N3r,,tanduk,,,lutut,,daun,,ati7,,kutu7,,,,gunuN,,nama7,,baru7,mal3m,iduN,,satu7,jalan,oraN,,,,,,,liyat,,,kulit,,,,,bintaN,batu7,mata ari7,,,,,lida,gigi7,tiga7,duwa7,,aer,kita,,,,,,lu
Indri,,,,,,,,,,mbveka,bika,Ngana,,,,,koro,ci,bena,njo,,tu,,,,,,wika,kizeNa,,,,,,,,,,,,jaNi,,dinye,,,mburanuN,,kpaka,,,,,,,,guoka,,niN,,,,mo,,buni,,,,,,,,,,,,kua,,,,,,,,,,,,mElah,te,,bisi,,Ngua,,,,,,,
Indus Kohistani,,,,,,,,,,roth~,hor,hil,,,,,iav,marov,kucor,puyov,,kan,,,,oych~i,,ongar,chim,,,,cupel,,,,,,ha,,Suyov,,Sing,,,kuth~,,pond,,Sur,,zui,,,,khan,,,,noyov,rol,,,,pan,,,,,,,,,,,com,,,,,tar,both~,,,,,,zib,dan,,,,vi,,,,,,,
Inesenyo,no7,,,,,,,,,"axul""is",se,kutet,,,,,kum,aqSan,huCu,aqmil,,tu7,,,,t3x,,n3,"al""ilimuw",,,,iyam,,,,,,pu,,itaq,,hap,,,"apam""",,qap,,"al""",,ipSt3,,,,milimol,,t3,,ik3min,saxiyi7,noxS,,"pakas""","C""ayaS",ku,,,,,,,kuti,,,pax,,,,,aqiwo,x3p,qsi,,,,,elew,sa,"pon""","iSkom""",,,kik37,,,,,,pi7
Inga,5uka,,,,,,,,,yawar,tuLu,piCu,,,,,Samu,wa5u,aLku,upya,,ringri,,,,5awi,,nina,CaLwa,,,,undakta,,,,,,maki,,uya,,kaCu,,,kunguri,,panga,,yana Sungu,,usa,,,,urku,,Suti,,muSu,tuta,singa,,Suk,5ambi,runa,,,,,,,riku,,,kara,,,,,istiriLa,rumi,indi,,,,,kaLu,kiru,kaspi,iSkay,,yaku,5ukanCi,,,,,,kan
Inga Medio Putumayo,nuka,,,,,,,,,yawar,tuLu,CuCu,,,,,samu,wa5u,alku,upya,,ringri,,,,5awi,,nina,Calwa,,,,xunda,,,,,,maki,,uya,,kaCu,,,kungur,,panga,,sungu,,usa,,,,,,suti,,musu,tuta,singa,,sug,5ambi,runa,,,,,,,kawa,,,kara,,,,,,rumi,indi,,,,,kaLu,kiru,saCa,iskay,,yaku,nukanCi,,,,,,kam
Inga Putumayo,nuka,,,,,,,,,yawar,tuly~u,CuCu,,,,,samu,wa5u,alku,upya,,rinri,,,,5awi,,nina,Calwa,,,,xunda,,,,,,maki,,uya,,kaCu,,,kungur,,panga,,sungu,,usa,,,,luma,,suti,,musu,tuta,singa,,sug,5ambi,runa,,,,,,,kawa,,,kara,,,,,istrily~a,rumi,ind~i,,,,,kaly~u,kiru,saCa,iskay,,yaku,nukanCi,,,,,,kam
Ingassana,a,,,,,,,,,afut,,wigit,,,,,le,tiriza7,al,masa,,vint~,,,,Et,,mo,g3ldE,,,,,,,,,,as,,fiNisa,,gurun,,,kusum,,wint~,,,,jink,,,,gam,,bil,,,wagdozE,fadat,,taman,taiyit,janfuy,,,,,,,turus,,,sodu,,,,,"p""ajo7",miEt,tEl,,,,,kalat,nigud,gulu,diak,,fEk,,,,,,,u
Ingrian,miE,,,,,,,,,veri,,povi,,,,,,kola,koira,jon,,korva,,,,silmE,,tuli,kala,,,,rodnoi,,,,,,kEzi,,kula,,sarvi,,,polvi,,,,liha,,popo,,,,pezuz,,imi,,uz,,noka,,iks,tropa,heNGi,,,,,,,nEhE,,,iho,,,,,,kivi,pEivikEs,,,,,keli,hamaz,puda,,,vezi,me,,,,,,
Ingura,naiuwa,,,,,,,,,yayari,,yuguduguda,,,,,,achunga,uruwadu,begina,,matt,,,,mempe,,angura,akw~aia,,,,buruku,,,,,,ayaruka,,agirigia,,,,,eini,,uiyia,,,,,,,,,,,,wararuguma,,,,auliaba,manadi,,,,,,,,undia,,,,,,,,warawara,awanda,aiyuma,,,,,alalyupa,akarunga,,ambilima,,agungu,,,,,,,nungua
Ingush,so,,,,,,,,,"c""iy","t""ek",naqX~a,,,,,an,ala,ZX~ali,mala,,lErg,,,,bX~arg,,"c""i","Cq""Era",,,,iza,,,,,,kulg,,Xaza,,muXa,,,go,,Xa,,diyiX,,maza,,,,loam,,"c""i",,"c""Ena",bisa,mEraZ,,ca7,,sag,,,,,,,bX~argago,,,"C""or",,,,,"sEdq""a",qX~Era,malX~,,,,,mot,carg,Xi,Si,,Xiy,Su,,,,,,ho
Iniai,namba,,,,,,,,,dodoma,olith~a7,andu7,,,,,heya,,wonyo,,,alat,,,,ladi,,sia7,,,,,,,,,,,kiaba,,,,,,,,,yoho,,,,lema,,,,adi,,,,,iwate7,,,mondi,asia7,,,,,,,,dalawokh~,,,imb3th~,,,,,adodo7,ana,nai7,,,,,godati,nyadi7,sia,labo,,ibo7,,,,,,,nimba
Inibaloi,si7kak,,,,,,,,,Cala,pok3l,soso,,,,,,,aso,inom,,tangida,,,,mata,,apoy,pa7id3N,,,,napno,,,,,,takday,,kid3N,,,,,pow3g,,boloN,,alt3y,,koto,,,,contog,,Naran,,bado,kal3bian,3d3N,,sak3y,calan,to7o,,,,,,,on7an,,,bidat,,,,,talaw,bato,,,,,,Cila,saNi,kiy3w,Cowa,,Canom,si7kito,,,,,,si7kam
Inkawasi,,,,,,,,,,yawar,tuZu,5u5u,,,,,Samu,wanu,aZXu,upya,,rinri,,,,nawi,,nina,,,,,unda,,,,,,maki,,uya,,waXra,,,qunGuri,,rapra,,,,lisu,,,,XaXa,,Suti,,muSux,tuta,sinGa,,uk,,runa,,,,,,,rika,,,Xara,,,,,Xuyar,rumi,rupay,,,,,qaju,kiru,Xiru,iSkay,,yaku,nuXanCi,,,,,,xam
Inkhokwari,do,,,,,,,,,"E*q""o",tL~ozol,koko,,,,,uX,uh,XwX$E*,XutL~,,a*ha,,,,Ezol,,"c""o",,,,,"Ec""u",,,,,,"l3tL""a",,tuqX~,,SElu,,,gurtu,,tL~ib,,Zubu,,noco,,,,hun,,co*,,"3c""nu",niSoho,mX~anE,,hos,hunE,"hik""o",,,,,,,akw~,,,qXX$otL~u,,,,,ca*,Xur,b3qX~,,,,,m3c,s3l,aZan,"q""X~unE",,Lo*,ilo,,,,,,mo
Inland Tanaina,Si,,,,,,,,,kh~ataLth~in,"T""3n",mam7a,,,,,yu,gh~isil,"Lik""a",tnun,,C3X7a,,,,naXa,,taz7i,Sak3la,,,,lv3n,,,,,,quna,,n3x,,ta,,,"C""iS",,"t""un",,"z3t""",,3yu,,,,tXili,,iZi,,"q""utiti",th~3T,nCh~ix,,"T""3L",th~3n,"qh~ut""an",,,,,,,7an,,,y3s,,,,,sin,qh~aLniki,n7uyi,,,,,Th~ila,Xi,"C""vala",nuth~iXa,,vinLni,nayi,,,,,,n3n
Innemor,iiE,,,,,,,,,dEm,a73m,"t""u",,,,,mEhE,,g3iE,"sET""E",,3nz~3r,,,,er,,3sEd,EsE,,,,,,,,,,Ey,,,,"k""En",,,gurmEnd~,,kEhEr,,,,3mEr,,,,"k""oto",,,,gEdEr,m3SEdE,Emf~unE,,Et,,sEb,,,,,,,,,,gogE,,,,,xw~ExEb,3m3r,EiEd,,,,,EnEbEd,,erE,w3r7et,,3xE,inE,,,,,,
Inner Mbugu Bumbuli,ani,,,,,,,,,sako,ifwara,i7asemu,,,,,lita,benesi,idiye,waha,,ilama,,,,i7ila,,ahla,samaki,,,,hu,,,,,,izogera,,ko,,luharemo,,,imuro,,ihupi,,itirao,,kiLo,,,,lubwa7o,,iLe,,ti7ale,ama,nuNa,,we,kwa,mmu,,,,,,,aho,,,zuna,,,,,ntondwe,isahu,i7aze,,,,,lu7anda,i7iki,mXatu,nu,,ma7i,nini,,,,,,ari
Interlingua,,,,,,,,,,sanguine,oso,pektore,,,,,venir,morir,kan,biber,,aure,,,,okulo,,foko,pisce,,,,plen,,,,,,mano,,audir,,korno,,,genu,,folio,,fikato,,pedikulo,,,,montania,,nomine,,nove,nokte,naso,,un,sentiero,persona,,,,,,,vider,,,kute,,,,,astro,petra,sol,,,,,lingua,dente,arbore,duo,,akw~a,nos,,,,,,tu
Inuktitut Eastern Canadian,uvaNa,,,,,,,,,auk,nataquaq,iviaNiq,,,,,qaiyuq,aniGnaNiqsivuq,qimiq,,,siut,,,,iyi,,ikuma,iqaluk,,,,tatatuq,,,,,,agak,,,,naty~uk,,,siquq,,akiGuaGuq,,tiNuk,,kumak,,,,kiNaq,,atiq,,,unuaq,qiNaq,,atausiq,aGquti,inuk,,,,,,,,,,amiq,,,,,uLuGiaq,uyaGaq,siqiniq,,,,,uqaq,kigut,napaqtuq,maGuk,,imaq,uvagut,,,,,,ivit
Inupiaq,ubaNa,,,,,,,,,auk,sauniq,miluk,,,,,qai,tuqu,qimiq,imiq,,siun,,,,iri,,igniq,qaluk,,,,imaqaq,,,,,,arx~aiC,,tusa,,nagruk,,,sitquq,,akutuq,,tiNuk,,kumak,,,,iXiq,,,,nutau,unuaq,imilX~uq,,atausiq,,i5uk,,,,,,,tautuk,,,amiq,,,,,ubluXiaq,iyaXak,siqi5iq,,,,,uqaq,kixun,napaqtuq,malX~uk,,imiq,ubaxut,,,,,,ilbiC
Iowa-oto,mire,,,,,,,,,wabage,wahu,maNe,,,,,gu,"C""e",Su*ke5i,rata*,,nadwa,,,,iSda,,peje,bixe,,,,uyu,,,,,,,,,,,,,SaSge,,nawe,,wapi,,he,,,,ahemaSi,,raye,,Ch~ege,ha*he,page,,iyangki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5i,hie,,,,,,rire
Ipiko,wo,,,,,,,,,ibo,horo,hobo,,,,,ama,mapuamo,gaho ihyo,ayanobo,,thu,,,,uhino,,tai,thope,,,,ogoma hagape,,,,,,hana,,tel mugiarati,,maha,,,epoil aipoi,,hEnE,,liya,,raika,,,,nua,,higa,,aho garo,bapo,bahi,,dapo,nabe,hanemyn,,,,,,,te mutErati,,,oipo,,,,,opopo,mEno,nibE,,,,,aha,ta,,mEyahi,,ogo,ni,,,,,,no
Ipulo,,,,,,,,,,yiNk~,ku,vant~,,,,,va,kuo,wo,mo,,to,,,,iX,,wus,hu,,,,EXu,,,,,,wo,,yutu,,kul,,,yu,,,,yi,,wis,,,,kp~E,,kum,,yo,,yun,,mo,iSi,oc,,,,,,,suNg~u,,,,,,,,mumw~e5emoy,ty~e,taNli,,,,,,in,ti,yal,,mol,,,,,,,
Iquito,ki,,,,,,,,,mahaka,niki,sipha,,,,,anini,iwarni,myara,rarini,,tuku,,,,namiha,,,papaha,,,,,,,,,,kurika awanaka,,tuhini,,,,,,,im,,kuwaha,,sikw~anaha,,,,,,yaka,,samina,ninni,nahika,,nukika,niku,kaya,,,,,,,nikini,,,isk,,,,,sawiha,sawiha,,,,,,nti,ika,,kumi,,aka,p,,,,,,kia
Irantxe,hare7,,,,,,,,,mi*7i*,,ikip,,,,,,ale*ku,kaSolo,ihi,,yakihi,,,,kuty~ake7i,,a*na,miya,,,,,,,,,,mi*ma*,,a*na,,,,,ina*talo,,yawali,,na*mihi,,ini,,,,alo7opa,,miya*ni,,,mw~itohu,ka*mi*,,ka*ty~apw~i,iya*,,,,,,,,tatapala,,,my~uri,,,,,piya*pa,alo7u,ire7,,,,,yaki*na*ti,a*kake7i,a7a,apanuma,,mo*na,,,,,,,Se*
Iranun,aku,,,,,,,,,rugu7,tulan,susu,,,,,miakauma,miatai,asu,inem,,taNila,,,,mata,,apui,seda7,,,,,,,,,,lima,,neg,,,,,,,raun,,atai,,kutu,,,,,,Naran,,bagu,magabi,NiruN,,isa,lalan,tau,,,,,,,ilai,,,upis,,,,,bitu7un,watu,,,,,,dila7,Nipen,,dua,,aig,sekita,,,,,,ta
Iraq Muslim Baghdad Arabic,7ani,,,,,,,,,damm,Xa8X~ma,nahid,,,,,ja,mat,Calib,Sirab,,7i8in,,,,Xen,,nar,simiC,,,,malyan,,,,,,7id,,simaX,,girin,,,rukba,,warga,,kabda,,gamlX~a,,,,jibal,,7isim,,jidid,lela,xaSim,,waXid,tX~ariq,SaxisX~,,,,,,,Saf,,,jilid,,,,,najma,Xjara,Samis,,,,,lisan,sinn,Sajara,8nen,,may,7iXna,,,,,,7inta
Iraqw,aniN,slemero,daXara,"k""afi",gura7,ur,"t""ir7i",kiX,boX,"t""ere",fara,isaNw~,daX,"fuk""uno",hunkay,"t""a7",xaw,gw~a7,se7ay,wah,kahar,i7a,Xape,Xay,"k""anXi",ila,hayi,asla,siyo,fu7unay,Xakut,ya7e,"hat""",hanis,Xo7,diXi,"k""ant""ar",se7eNw~,dawa,saga,axas,muna,xarmo,daXaXam,gas,guruNgura,xu7,loXi,"k""at",da7aye,Ler,itna,Xawata,maga7,slaXaNw~,Loma,afa,uma,isa,Xaben,xw~era,duNa7,,wak,lohi,he,luway,daXat,deXar,gumbalalaX,XasaNw~,o7,ar,dahasiNw~,iwit,kahari,gu7,nina,"k""u7i",siXit,"t""at""aX",LaXa,lo7a,tumbim,Xayso,,,"t""ifraNw~",siXino,xano,"t""ar",hi7it,ma7ay,aten,mila,Xawak,hema,Xameni,"t""eXat",kiN
Iraqw 2,ani,,,,,,,,,sEre,fara,isamo,,,,,naharda,agw~a7,se7ai,gawa,,e7a,,,,ila,,ala,siyo,,,,,,,,,,sai,,axasa,,xarmo,,,guruNg~ura,,lo7o,,de7e,,itirmu,,,,tL~oma,,uma,,XabEn,xw~era,duNg~a7,,w3k,lohi,he,,,,,,,ara,,,kahari,,,,,seseX,tL~aXanu,lo7a,,,,,sifraN,sino,xatL~no,sar,,ma7ai,atEn,,,,,,kuN
Iraralay Ivatan,,,,,,,,,,rala,totowaN,soso,,,,,may,zakat,agsa,inom,,taliNa,,,,mata,,apoy,amoN,,,,,,,,,,lima,,amizeN,,,,,,,vohoN,,atayi,,koto,,,,,,Naran,,vayo,ahep,momodan,,asa,rarahan,tao,,,,,,,,,,kolit,,,,,mata no hany~it,vato,,,,,,lila,Nepen,,dowa,,ranom,,,,,,,
Irarutu,ja,,,,,,,,,wam3s3,rur3,sus3,,,,,ma,n3mat3,pun3,nin3,,t3g3ra,,,,matie,,pena,som3,,,,n3pon3,,,,,,p3ra,,naparog3r3,,,,,wipu,,ro,,b3r3pot3,,ut3,,,,taro,,no,,bunat3,gisiE,wEgur3,,Eso,rad3ni,matu,,,,,,,si,,,rit3,,,,,tor3,kami,pim3tiE,,,,,mamaje,r3pu,E,ripo,,wEr3,am3,,,,,,o
Iresim,ne,,,,,,,,,rara,ikobara,ihuhugw~a,,,,,ruame,Tamiake,na,nekimane,,tanabume,,,,ihura,,Tai,diTane,,,,,,,,,,baki,,neno,,,,,nibugw~a,,rane,,,,uku,,,,eri,,iniahana,,ore,roi,ituage,,kete,Tara,,,,,,,,neTareki,,,apukua,,,,,tuma,aku,ora,,,,,iniamene,iri,aibakana,ruhi,,rarama,koNkome,,,,,,ane
Iriga,qaku,,,,,,,,,ruguq,tulaN,susu,,,,,qabut,giraqan,qayam,qinum,,taliNa,,,,mata,,kalayu,qisiraq,,,,punuq,,,,,,kamit,,riNig,,suNuy,,,tuwud,,dawun,,qatay,,kutu,,,,kulud,,Naran,,bagu,gabqi,quruN,,qisad,dalan,tawu,,,,,,,bayad,,,kulit,,,,,bituqun,batu,qaldiw,,,,,riraq,Nipin,kawuy,darawa,,tubig,kita,,,,,,kamu
Irish Gaelic,my~e,,,,,,,,,kro,knav,brol3x,,,,,tar,eg,ku,ol,,klu3s,,,,suL,,ty~i53,i3sk,,,,lan,,,,,,lav,,kloS,,airk,,,glu5,,diLog,,kru3e,,sor,,,,SLi3v,,a53my~,,nu3,ixy~3,sron,,in,kosan,di53,,,,,,,aurk,,,ky~5as,,,,,relt3,klox,gy~ry~i3n,,,,,ty~aNg3,dy~ed,kran,xa,,iSky~3,midy~,,,,,,tu
Iron Ossetian,EZ,,,,,,,,,tug,StEg,riw,,,,,sEw,mEl,kw~3z,nwaZ,,quS,,,,sESt,,Z3ng,kESag,,,,zag,,,,,,"k""uX",,quS,,"S3k""a",,,wErag,,S3f,,igEr,,S3St,,,,XoX,,nom,,nEwEg,EXSEv,f3nz,,iu,fEndag,adEmag,,,,,,,w3n,,,sarm,,,,,"St""al3",dur,Xur,,,,,EvZag,dEndag,bElaS,d3wE,,don,maX,,,,,,d3
Irula,,,,,,,,,,netaru,elumbu,nenc,,,,,ba,ca,nayi,kudi,,kadu,,,,kanu,,ti,,,,,,,,,,,,,,,,,,kalumuti,,ele,,iralu,,penu,,,,beta,,,,,rapodu,muk,,ondu,bei,,,,,,,,kan,,,tolu,,,,,,ere,,,,,,naku,palu,mara,munu,,dani,navu,,,,,,ni
Isabi,nana,,,,,,,,,ausi,sia,mimi,,,,,,pere,kend~a,,,garikE,,,,okisa,,tu,kand~e,,,,,,,,,,,,kreh,,,,,,,,,,,n3ma,,,,hoe,,Nguri,,koy,ehigai,oNgoruh,,m3NgEnE,k3,,,,,,,,awE,,,it3,,,,,toromb~i,yoxonu,aNgi,,,,,Ehupamina,sia,y3,tEri,,,tara,,,,,,kia
Isaka,nana,,,,,,,,,si,wiya,ni,,,,,,,duwe,,,tari,,,,no*ka*y*,,ti,we,,,,,,,,,,dou,,,,,,,tokow,,siy,,se,,e*y*,,,,itanu,,ta,,no,kisi,dapu,,kapa,pili,daka,,,,,,,eley,,,ta,,,,,yery~e,yoko,du,,,,,may,ku*,tey,sie,,wi,numu,,,,,,mama
Isamorong Ivatan,,,,,,,,,,raya,tohaN,soso,,,,,may,diman,Tito,inom,,tadi5a,,,,mata,,apoy,amoN,,,,,,,,,,tanoro,,adNey,,,,,,,vohoN,,atay,,koto,,,,,,Naran,,vayo,misarisari,momodan,,asa,rarahan,tao,,,,,,,voya,,,kodit,,,,,vitohen,vato,,,,,,rida,5ipen,,dadw~a,,ranom,,,,,,,
Isangu,m3,,,,,,,,,luNg~u,bisi,tulu,,,,,rux3,fu,mond~3,nu,,aru,,,,isu,,mb~awu,bEr3,,,,,,,,,,kak3,,yulu,,cemb~u,,,nuNg~u,,xayi,,bali,,cin3,,,,koNg~u,,dux3,,,bati,basu,,mosi,,tu,,,,,,,lab3,,,kat3,,,,,5eci,ma5i,5aNg~u,,,,,limi,inu,ri,beyi,,mb~3,yetu,,,,,,yu
Isconahua,,,,,,,,,,imi,jau,,,,,,,,,aiyai,,pabiki,,,,bera,,jene,,,,,,,,,,,mebi,,,,,,,rateko,,,,,,,,,,maCi,,,,,yame,reki,,westiwa,,,,,,,,,,,,,,,,,ndai Camis,,wari,,,,,ana,jeta,iwi,narabe,,ehpaja,noakana,,,,,,mi
Isebe,isE,,,,,,,,,yoga,bEhili,hu,,,,,fa,armi,p3i,,,dahi,,,,amE,,yai,dor,,,,arEpi,,,,,,,,do,,,,,g3tir3,,,,,,mi,,,,mil,,yEni,,faun,tumug,mEdE,,orofan,,,,,,,,,mE7i,,,g3na,,,,,surup3,mEn,am,,,,,bElEa,,na,Eris,,wagu,igE,,,,,,inE
Isheu,,,,,,,,,,u5o*,oxw~o,iNma*hi*,,,,,wag,xw~o,,tol,,uSog,,,,iji,,i5a*,Ena*hu*,,,,,,,,,,uwo,,,,ikon,,,ihu*hu*,,ufa,,,,,,,,akp~a,,eni*,,oga*ga,alahu,oko*ro*,,Si,olE,oni*,,,,,,,mi*,,,Exw~e,,,,,aSu*Su*,isa,EwiS,,,,,Eyu,jor,ohu*,wa,,umo*,,,,,,,
Ishkoman Wakhi,woz,,,,,,,,,wuxEn,yESC,pijbor,,,,,,,SoC,,,xiS,,,,Cejm,,roxnig,moyi,,,,,,,,,,,,,,,,,,,polC,,,,,,,,,,nuNg,,Sexd,noxt,mis,,yiu,w3dok,,,,,,,,,,,pist,,,,,sitoro,xor,yir,,,,,zik,d3nd3k,doroxt,bui,,yuph~kh~,sok,,,,,,tu
Iskubun,saikin,,,,,,,,,haidaN,tuhna8,susu7,,,,,bainin,mata8,asu7,hud,,taNia7,,,,mata7,,sapu8,iskan,,,,,,,,,,ima,,ta7a8a7,,,,,,,lisav,,hata8,,kutu,,,,,,Nan,,bahlu,Labian,Nutus,,tas7a,dan,,,,,,,,sadu,,,kauN,,,,,bintuhan,batu,vaLi7,,,,,ma7ma7,nipun,Lukis,dusa,,danum,kata7,,,,,,kasu7
Island Carib,nuguia,,,,,,,,,bitao,abu,uri,,,,,daga,sue,auli,ata,,arigari,,,,agu,,ilemo,aoto,,,,bui,,,,,,habu,,agaba,,arigari,,,gakorogo,,bana,,bana,,,,,,webo,,iri,,iCerikeili,ariabu,igiri,,abana,ema,eieri,,,,,,,agoragua,,,ula,,,,,uaruauma,tebu,weyeyu,,,,,yeye,ari,arabu,biama,,tuna,wagia,,,,,,huguia
Isnag,iya7,,,,,,,,,daga,tulaN,gatat,,,,,umb~et,natay,atu,inum,,taliNa,,,,mata,,apuy,sisida,,,,napnu,,,,,,ima,,magina,,sagud,,,utud,,adon,,agtay,,kutu,,,,bant~ay,,Nagan,,baru,gabi,iguN,,isa,dalen,tolay,,,,,,,nasiNan,,,lublub,,,,,bituwan,batu,mata,,,,,dila,Nipan,kayu,duwa,,danum,dakami,,,,,,ikaw
Isneg,iya7,,,,,,,,,daga,tulaN,gatat,,,,,,,atu,uminum,,taliNa,,,,mata,,apuy,sissida,,,,napnu,,,,,,ima,,magi7na,,,,,utud,,adon,,agtay,,kutu,,,,bantay,,Nagan,,bagu,gabi,iguN,,isa,dalen,tolay,,,,,,,masiNan,,,lublub,,,,,bittuwan,batu,,,,,,dila,Nipan,kayu,duwa,,danum,da7tada,,,,,,ikaw
Isoko,,,,,,,,,,zE,,,,,,,,xwu,bo,da,,zo,,,,ru,,,yei,,,,vo,,,,,,bo,,yo*,,gb~a,,,,,bi,,du,,tu,,,,,,dE,,kp~ukp~u,su,Nwe,,,,,,,,,,,ruE,,,viE,,,,,,to,,,,,,rou,ko,re,vE,,mi,,,,,,,
Isongo,,,,,,,,,,li*ngo*,kpu,bE*lE,,,,,yolo,we,bua,nu,,ti,,,,i*so,,ta*,sui,,,,tonde,,,,,,,,o*k,,ze*ka,,,,,fa,,"b""ale",,li,,,,di,,bEi*,,sanza*,utu,olo*,,ngamo,zia,ndo,,,,,,,un,,,dala*,,,,,do*tia,le,mui,,,,,lE*i*,Eno,te*,"b""a*le",,eko*,,,,,,,
Isthmus Zapotec,na7,,,,,,,,,rini,jita,Ziji,,,,,eda,ati,biku7,e7,,diaga,,,,gielu,,gi,benda,,,,ja7,,,,,,na7,,una diaga,,kaCu,,,Zibi,,band~aga,,laji7,,biCi,,,,dani,,la,,kubi,Sini,Zi7,,tobi,neza,bini,,,,,,,u7y~a7,,,gidi,,,,,belegi,gie,gubija,,,,,luji,laya,yaga,Cupa,,nisa,nu,,,,,,li7
Isukha,,,,,,,,,,sayi,kumba,bele,,,,,hamba,khuca,bwa,ngw~wa,,royi,,,,moni,,liru,suci,,,,icula,,,,,,,,hulila,,iga,,,kamu,,nyasi,,ngurumani,,ndaha,,,,kulu,,ra,,yia,dukhu,ulu,,Silala,njila,,,,,,,,lola,,,,,,,,nyininyini,Thina,uva,,,,,limi,inu,sala,vili,,aci,,,,,,,
Italian,io,,,,,,,,,saNgwe,osso,pEtto,,,,,vEn,mor,kane,bere,,orekkyo,,,,okkyo,,fwoko,peSe,,,,pyEno,,,,,,mano,,ud,,korno,,,jinokkyo,,foLa,,fegato,,pidokky~o,,,,monta5a,,nome,,nwovo,notte,naso,,uno,sentyaro,persona,,,,,,,ved,,,pElle,,,,,stella,pyEtra,sole,,,,,liNgwa,dante,albero,due,,akwa,noi,,,,,,tu
Italian Grosseto Tuscan,io,,,,,,,,,sangwe,oso,pEto,,,,,venire,morire,kane,bE,,orekyo,,,,okyo,,foko,peSe,,,,pyEno,,,,,,mano,,sentire,,korno,,,Zinkyo,,foLa,,fegato,,pidokyo,,,,monata5a,,nome,,novo,note,naso,,uno,strada,omo,,,,,,,vedere,,,pEle,,,,,stela,saso,sole,,,,,lingwa,dEnte,pyanta,due,,akwa,noi,,,,,,te
Itanga Bomitaba,,,,,,,,,,asei,ese,bEle,,,,,Ec,wey,koci,5w~e,,py~aka,,,,iso,,wea,sw~e,,,,tonc~i,,,,,,kasa,,ok,,seke,,,boNg~o,,aNg~u,,bale,,mb~ua,,,,kobemela,,komb~o,,wa5wawa,tu,olo,,mo,pei,,,,,,,,En,,,ky~EtE,,,,,nt~eint~ei,,wei,,,,,lemu,ino,zete,mb~ale,,mai,,,,,,,
Itawit,yEkEn,,,,,,,,,dEhE,tulEN,susu,,,,,umEN,metEy,Etu,inum,,dErENgEN,,,,mEtE,,Efi,dilis,,,,,,,,,,imE,,magina,,,,,,,don,,EgEl,,kutu,,,,,,nEhEn,,bEhu,gEbi,iyuN,,isE,dElEn,tolEy,,,,,,,mEsiNEn,,,gEdEN,,,,,bitwEn,bEtu,,,,,,hilE,NipEn,,duE,,dEnum,ikEmi,,,,,,ikEw
Itbayaten Batanes Islands,yak3n,,,,,,,,,raya7,tu7gaN,rahdah,,,,,,,titu7,uminum,,tilwan,,,,mata7,,hapuy,amuN,,,,mapnu7,,,,,,lima7,,man7adN3y,,,,,tuhud,,vuguN,,atay,,kutu7,,,,tukun,,Naran,,va7yu7,a7g3p,muhdan,,a7sa7,ragan,tawu7,,,,,,,tiiban,,,kulit,,,,,vitu3n,vatu7,,,,,,rila7,5ip3n,kayuh,duha7,,ranum,yat3n,,,,,,imu7
Iten,me,,,,,,,,,n5~i,ikub,ibalas,,,,,yEs,ku,Ebabu,so,,icoro,,,,irisE,,igb~o,iziN,,,,,,,,,,iwo,,ph~ok,,igumE,,,irum,,ibe,,iSon,,izi,,,,EwaraN,,irywEk,,,,ilol,,dan,EwEl,E5i,,,,,,,yaN,,,ihuhu,,,,,Eyuyoro,ikE,igb~ey,,,,,ilEm,izinE,Ehon,fa,,nnen,,,,,,,
Iteri,,,,,,,,,,wo7,pumoto,nou,,,,,sapuam,,so7,,,Eu,,,,,,,7wari,,,,,,,,,,nai,,,,,,,paemi,,au,,imEsi,,E,,,,pwisE,,,,togomo,samo,imur,,susEsE,ori,nau,,,,,,,,,,nae,,,,,tamomo,masi,,,,,,lEtE,i,a7,lisE7,,u,,,,,,,
Itik,adi,,,,,,,,,kusene,arene,,,,,,sediaka,,,,,,,,,naue,,ti,,,,,,,,,,,tafer,,,,,,,,,,,,,nane,,,,,,buse,,,okwin,,,aftinde,,,,,,,,,memadamtar,,,tifen,,,,,,tokwen,buSan,,,,,,ur,ti,nouwe,,fo,ne,,,,,,emi
Itneg Binongan,diyak3n,,,,,,,,,dala,tol7aN,soso,,,,,,,aso,ominom,,iNa,,,,ata,,apoy,lam3s,,,,napno,,,,,,ima,,mana7ag,,,,,pow3g,,tobo,,agt3y,,koto,,,,bilig,,Nalan,,,labi,3N3l,,issa,dadan,ta7o,,,,,,,mas3Nan,,,kopsit,,,,,bitow3n,bato,,,,,,dila,Nip3n,kayo,dowa,,danom,ditayo,,,,,,dika
